人民日益增长的美好生活需要和不平衡不充分的发展之间的矛盾	jdox
京津冀协同发展	gkac
倒吸了一口凉气	jdrv3
增值税专用发票	gjxv
批评和自我批评	usxs
国际进口博览会	rtqj
没有过不去的坎	knkg3
失败是成功之母	took2
肉眼可见的速度	mqzx
最熟悉的陌生人	ogtj
身在福中不知福	znff
自由贸易试验区	odbn2
在人生的道路上	njly
知人知面不知心	ojoh2
我不知道为什么	tcot
此时无声胜有声	sodg
好像有什么东西	bjnv
抬头不见低头见	uwce
勿以善小而不为	nvgi2
道不同不相为谋	hcms
退一步海阔天空	ifse
在这样的情况下	nvef
七天无理由退货	rfdj2
防人之心不可无	tjrd
集中力量办大事	udsf
走着走着就散了	pgpr
世界观和方法论	lqrs
每逢佳节倍思亲	ehji2
偷鸡不成蚀把米	jrcp2
一切从实际出发	frjs
长风破浪会有时	pomo
从某种意义上说	jzxs
塔克拉玛干沙漠	gcuk2
说走就走的旅行	spgp2
半殖民地半封建	hgdb
社会主义荣辱观	fjir2
夜空中最亮的星	zedo
何事秋风悲画扇	jfxm
腹有诗书气自华	vnsj2
从这个意义上说	jvjs2
儿孙自有儿孙福	phof
全面协调可持续	jbni
平平淡淡才是真	eekn4
中央书记处书记	dmas
人生七十古来稀	jlrx
强中自有强中手	bdou
今日有酒今日醉	jony
初生之犊不惧虎	tlrz
燕雀岂知雕鹗志	lyvg
皇天不负苦心人	ufcj2
画龙不成反为狗	ftcm
有是父必有是子	nohh
眼观鼻，鼻观心	qroh
画虎不成反类狗	fzcm2
冤有头，债有主	wnwi
成也萧何败萧何	nelj3
置之死地而後生	yrgl2
解铃须用系铃人	xzej
远水救不得近火	mkfc
经一失，长一智	ifto2
蜚鸟尽，良弓藏	rxcl
船到桥头自会直	iyen2
说时迟，那时快	soch
船到江心补漏迟	iykc
玉不琢，不成器	ncnd
前怕狼，後怕虎	hhmz3
打破沙锅璺到底	umkx2
船到桥门自然直	iyen3
水流湿，火就燥	kkkc3
貂不足，狗尾续	mcpi
千里姻缘使线牵	ldbm2
树欲静而风不宁	ehaw2
心有馀而力不足	hnqp2
树欲息而风不停	ehoj
风从虎，云从龙	ojzt
饱人不知饿人饥	qjcq
千日打柴一日烧	louc
树欲静而风不停	ehaj
千日斫柴一日烧	lomc2
识二五而不知十	smwn2
张公吃酒李公醉	bhdy2
挟天子以令天下	ufhf2
是非只为多开口	ordd
半部论语治天下	hisf
初生之犊不畏虎	tlrz2
打破砂锅璺到底	ummx2
书同文，车同轨	amvy
起死人而肉白骨	pgjf
居移气，养移体	cxvj
十年生死两茫茫	nell
奥斯特洛夫斯基	tzqz
一人做事一人当	fjjy2
春蚕到死丝方尽	afyc
睁着眼睛说瞎话	qgqs
阳光总在风雨后	tmhx3
社会主义公有制	fjiq3
路漫漫其修远兮	pkkh2
感觉自己萌萌哒	nkod
没有不透风的墙	kncg
吃了上顿没下顿	dryf
莫待无花空折枝	lwde
金黄色葡萄球菌	znxl
丝绸之路经济带	iirl
踏破铁鞋无觅处	pmzh
出师未捷身先死	spag
子欲养而亲不待	hhgw
撸起袖子加油干	upte
不为五斗米折腰	ciwv
你怎么可以这样	jwte
同是天涯沦落人	mofj2
众里寻他千百度	jdbx
梅花香自苦寒来	elxa2
留取丹心照汗青	bqma
一发而不可收拾	fslu
桂林山水甲天下	eevf
吾将上下而求索	wayn
天长地久有时尽	fpgc
问君能有几多愁	abkx
命里无时莫强求	jddf3
此恨绵绵无绝期	shiz
临夏回族自治州	pfro
好马不吃回头草	bncl
党和国家领导人	sxrj
命里有时终须有	jdnn
三人行必有我师	tjpp
君子动口不动手	bhbu2
事非经过不知难	frir
按劳分配为主体	ulhj
不撞南墙不回头	cunw3
增值税普通发票	gjxv3
恶语伤人六月寒	fsjw2
回眸一笑百媚生	rqfl
现代化建设事业	njjc
相逢何必曾相识	ehjs2
监督管理委员会	pyrj
问世间情为何物	alaq
千金散尽还复来	lzla2
良言一句三冬暖	isfo
一切尽在不言中	frcd
工业和信息化部	ucxi
我命由我不由天	tjdf2
无产阶级革命家	ditw
条条大路通罗马	hhmn
宝剑锋从磨砺出	wjzs
白发人送黑发人	usjj2
孤帆远影碧空尽	hrmc
哪壶不开提哪壶	dgcg2
到底是什么原因	yxor2
勿以恶小而为之	nvfr
化作春泥更护花	jjal
十五个吊桶打水	nwjk
花自飘零水自流	lovk
直挂云帆济沧海	nubk
诺贝尔经济学奖	soxa3
一个好汉三个帮	fjba
为有源头活水来	inka
劝君惜取少年时	rbho
引起了我的注意	bprx
让我们荡起双桨	stja2
再生障碍性贫血	fltt2
陀思妥耶夫斯基	tqyz
除却巫山不是云	tgub
一哭二闹三上吊	fdmd2
天上不会掉馅饼	fycq
桃花依旧笑春风	eljo
可持续发展战略	zuiq
没有免费的午餐	knwg
一将功成万骨枯	faue
中国工程院院士	drug2
富在深山有远亲	wnki
得了便宜还卖乖	wrjl
揣着明白装糊涂	ugok2
不见棺材不掉泪	ceek2
举头三尺有神明	kwto3
危害国家安全罪	xwry
衣带渐宽终不悔	tlkh2
住房和城乡建设	jmxs2
大人不记小人过	mjck
书到用时方恨少	ayty
药品监督管理局	ldpc
狭路相逢勇者胜	mpev2
好钢用在刀刃上	bzty
浓墨重彩的一笔	kplr
话不投机半句多	scul
岁岁年年人不同	vvem
身无彩凤双飞翼	zdyz
卖火柴的小女孩	ncsh
此情可待成追忆	shzh2
得来全不费工夫	wajh2
唯见长江天际流	depk
中共中央国务院	dldt
人生得意须尽欢	jlwr
独在异乡为异客	mnvw3
社会主义新农村	fjie2
绝知此事要躬行	iosp
人间正道是沧桑	jafr
天生我才必有用	fltt3
纸上得来终觉浅	iywk
面朝黄土背朝天	bnnf
凉山彝族自治州	wvbo
兔子不吃窝边草	whcl2
横眉冷对千夫指	ecwu
不见兔子不撒鹰	cewx2
请神容易送神难	sfwr
云想衣裳花想容	betw
似曾相识燕归来	jhea
其不善者而改之	zcgr
死要面子活受罪	gvby
贫贱夫妻百事哀	hoht
轻舟已过万重山	yivv
问渠哪得清如许	akds2
六宫粉黛无颜色	awpx2
只羡鸳鸯不羡仙	dglj
好了伤疤忘了疼	brja
该出手时就出手	ssuu
透过现象看本质	xknx
人面不知何处去	jbcg
善恶到头终有报	gfyu
俯首甘为孺子牛	jhzq
失败乃成功之母	tovk2
书山有路勤为径	avnw
抽刀断水水更流	uppk2
未成年人保护法	anek
百年修得同船渡	fejk
绝大多数情况下	imlf
国有企事业单位	rnjj
你永远也不知道	jimh3
哈尔滨工业大学	dxkk
从某种意义上讲	jzxs2
以阶级斗争为纲	vtii
伸手不打笑脸人	jucj
古来圣贤皆寂寞	carw2
多情自古伤离别	lhod
有所为有所不为	nmii2
这个杀手不太冷	vjbw
为伊消得人憔悴	ijkh
风萧萧兮易水寒	ollw
黄河之水天上来	nkra
一闪一闪亮晶晶	fafo
做梦都没有想到	jeqy
千年修得共枕眠	lejq
在地愿为连理枝	ngxe
择其善者而从之	uzgr
第三次世界大战	rtwy2
风物长宜放眼量	oqpo
今天你要嫁给我	jfjt
后宫佳丽三千人	xwjj
国家重点实验室	rwlw2
学海无涯苦作舟	kkdi
类风湿性关节炎	pokc2
守得云开见月明	wwbo
月亮代表我的心	vgjh
果然不出我所料	qvcp
别怪我没提醒你	dhtj
在一棵树上吊死	nfeg2
笑着笑着就哭了	rgrr
轻拢慢捻抹复挑	yuhu2
君子以厚德载物	bhvq2
君子以自强不息	bhvo3
就在沉默中灭亡	gnkf
一记响亮的耳光	fsdm2
两岸猿声啼不住	mvmj3
使我不得开心颜	jtci
只是当时已惘然	doyv
同年同月同日生	meml3
在天愿作比翼鸟	nfxx
没有不散的宴席	kncx
千呼万唤始出来	ldfa2
接天莲叶无穷碧	ufln
翻脸比翻书还快	tvvh2
偷得浮生半日闲	jwka2
办法总比困难多	skhl
映日荷花别样红	ooli
横看成岭侧成峰	eunv3
白云生处有人家	ublw2
顾不了那么多了	xcrr
忍一时风平浪静	pfoa
问题的关键在于	aouf
一语惊醒梦中人	fshj
万千宠爱于一身	flwz
倒抽了一口冷气	jurv2
害人之心不可有	wjrn2
惟有饮者留其名	hnql2
未成曲调先有情	anyh
路见不平一声吼	pecd
中国国家博物馆	drrq
乱云飞渡仍从容	abcw
力拔山兮气盖世	suvl
有种不祥的预感	nxcn2
一枝红杏出墙来	feia
在那遥远的地方	nayl
如果这都不算爱	bqvy
开什么国际玩笑	fjtr2
没有硝烟的战争	knmx
退役军人事务部	iwwi
不战而屈人之兵	cylt
不畏浮云遮望眼	cqkq
吃了熊心豹子胆	drkv
庄生晓梦迷蝴蝶	xloc
清明时节雨纷纷	kooi
英雄难过美人关	lnrh2
小荷才露尖尖角	ylnx
步入婚姻的殿堂	sjbs2
燃烧我的卡路里	cctd
甲状腺功能减退	savi
看热闹不嫌事大	uuam4
第四次工业革命	rywj3
黄鼠狼给鸡拜年	npme
不如相忘于江湖	cbek2
为人谋而不忠乎	ijst
举杯消愁愁更愁	kekx3
奔流到海不复回	mkyr
望帝春心托杜鹃	fiad3
男儿膝下有黄金	qpvz2
蜡炬成灰泪始干	ccne
一弦一柱思华年	fbfe
中国人民志愿军	drjw2
大难临头各自飞	mrpc
小心驶得万年船	yhni
岁月是把杀猪刀	vvop3
建档立卡贫困户	beim2
沧海月明珠有泪	kkvk
立下了汗马功劳	ifrl
而今迈步从头越	ljfp3
锦瑟无端五十弦	zndb
飞上枝头变凤凰	cyeo2
飞入寻常百姓家	cjbw
黑发不知勤学早	psco
遇见最好的自己	qeov
往自己脸上贴金	wovz2
有百害而无一利	nfwx
不足为外人道也	cpie
什么时候是个头	jtow2
仰天大笑出门去	jfmg
你笑起来真好看	jrpu
小楼一夜听春雨	yeft
粪土当年万户侯	pgyj
苟利国家生死以	lxrv
野百合也有春天	dfjf2
面不改色心不跳	bcvp
你方唱罢我登场	jldg2
学习雷锋好榜样	kzte
少年不识愁滋味	yecd
心底无私天地宽	hxdw
玩弄于股掌之间	nnfa
莫使金樽空对月	ljzv
蓝田日暖玉生烟	lqoc
高端大气上档次	gimw
不作死就不会死	cjgg
世上今人胜古人	lyjj2
只缘身在此山中	dizd
含着金钥匙出生	jgzl
好死不如赖活着	bgcg2
就再也回不去了	gfer
白天不懂夜的黑	ufcp2
葡萄美酒夜光杯	llge3
身正不怕影子斜	zfcj
中国科学院院士	drxg
久病床前无孝子	xaxh
大王叫我来巡山	mndv
好汉不提当年勇	bkck
我们已经尽力了	tjvr
老婆孩子热炕头	qkhw
远上寒山石径斜	mywj2
鸟不拉屎的地方	xcul
我笑他人看不穿	trje2
打遍天下无敌手	umfu2
无限风光在险峰	dtov
相逢一笑泯恩仇	ehfj
窗含西岭千秋雪	ejvt
三更灯火五更鸡	tfcr
上天有好生之德	yfnw
含着金汤匙出生	jgzl2
将爱情进行到底	ayhx
烟波江上使人愁	ckkx
甘孜藏族自治州	zhlo
白云千载空悠悠	ublj3
达摩克利斯之剑	mzcj
冤冤相报何时了	wwer4
凌驾于法律之上	wsfy
子欲养而亲不在	hhgn
岂因祸福避趋之	vrfr
无缘对面不相逢	dirh
无规矩不成方圆	dhor
第二次工业革命	rmwj
虎落平阳被犬欺	zlez
计划赶不上变化	sppj
龙游浅水遭虾戏	tkkr
劝君更尽一杯酒	rbfk
奋不顾身的爱情	mcxh
娶了媳妇忘了娘	qrbb
春江水暖鸭先知	akko
直教人生死相许	nqjs
西出阳关无故人	vstj
远近高低各不同	mtgm
三十六计走为上	tnay
以公有制为主体	vhnj2
冲冠一怒为红颜	wwfi
大规模集成电路	mhep
并没有什么卵用	hknt2
春宵一刻值千金	awfz
深巷明朝卖杏花	klol2
第一次工业革命	rfwj
蒙娜丽莎的微笑	lbfr
门泊东吴万里船	akri
一举成名天下知	fkno2
不到长城非好汉	cypk
世上只有妈妈好	lydb2
中国共产党万岁	drlv
倒了八辈子血霉	jrht
儿行千里母担忧	pplh
内蒙古呼和浩特	mlcq
哭着哭着就笑了	dgdr2
山穷水尽疑无路	vekp
恨不相逢未嫁时	hceo2
打断骨头连着筋	upfr
春色满园关不住	axkj
晴川历历汉阳树	ooxe2
梦里不知身是客	edcw
江山代有才人出	kvjs
百无一用是书生	fdfl2
芳草萋萋鹦鹉洲	lllk3
黄鹤一去不复返	nwfx
九年制义务教育	keqb
千金难买心头好	lzrb
机遇与挑战并存	eqfn
长使英雄泪满襟	pjlt
三个女人一台戏	tjbr
业精于勤荒于嬉	cpfb
但愿长醉不复醒	jxpy
保温杯里泡枸杞	jkee
太阳打西边出来	mtua
感觉身体被掏空	nkze
我辈岂是蓬蒿人	trvj2
新加坡国立大学	isgk
春来江水绿如蓝	aakl
有人欢喜有人愁	njrx
知我者谓我心忧	otqh
社会主义优越性	fjih2
蓝猫淘气三千问	lmka2
一个篱笆三个桩	fjre
一眼望不到尽头	fqfw2
不拘一格降人才	cufn
两害相权取其轻	mwey
再听已是曲中人	fdvj
卫生健康委员会	zljj
国际交流与合作	rtaj
旧时王谢堂前燕	gonl
死马当作活马医	gnyn2
睡觉睡到自然醒	qkqy
穷在闹市无人问	enaa
谁动了我的奶酪	sbry
长太息以掩涕兮	pmoh
一口老血喷出来	fdqa
买卖不成仁义在	ancn
五笔字型输入法	wrwk3
亲亲抱抱举高高	iiug
发展才是硬道理	scnn2
国有大中型企业	rnmc
好言一句三冬暖	bsfo
宜将剩勇追穷寇	waxw
怎么舒服怎么来	wtja2
拿着鸡毛当令箭	jgrr
无缘对面不相识	dirs2
日出江花红胜火	oskc
未可全抛一片心	azjh
没有不散的筵席	kncx2
竹外桃花三两枝	rlee
还君明珠双泪垂	cbol
迪庆藏族自治州	dxlo
钟鼓馔玉不足贵	zhqc
乱拳打死老师傅	ahuj2
伤筋动骨一百天	jrbf2
刘姥姥进大观园	vbbr
大理白族自治州	mnuo2
天下谁人不识君	ffsb
新民主主义社会	idij2
无领导小组讨论	djvs
笑书神侠倚碧鸳	rafl2
飞雪连天射白鹿	ctyx
三国两晋南北朝	trmn2
不会有好果子吃	cjnd2
不可沽名学霸王	czkn2
不正当男女关系	cfyt2
世事洞明皆学问	lfka
人情练达即文章	jhix
出家人不打诳语	swjs3
勤能补拙是良训	lkts
北京外国语大学	aglk
喜羊羊与灰太狼	hggm
夫妻本是同林鸟	hfex
床头吵架床尾和	xwdx
朝来寒雨晚来风	nawo2
正确的打开方式	fmup3
皇帝不急太监急	uicx
睡你麻痹起来嗨	qjzd
第三次科技革命	rtwj
诺贝尔物理学奖	soxa6
一条绳上的蚂蚱	fhic4
一根绳上的蚂蚱	feic2
一阴一阳之谓道	ftfh
只在乎曾经拥有	dntn
哇的一声就哭了	dufr
好心当成驴肝肺	bhyv
好男儿志在四方	bqpl
有恒产者有恒心	nhih
枪杆子里出政权	eehe2
钱财乃身外之物	zovq
不在一个频道上	cnfy2
人如果没有梦想	jbqe
关公面前耍大刀	hhbp
占着茅坑不拉屎	yglc
咸吃萝卜淡操心	ndlh
国家医疗保障局	rwnc2
安能辨我是雄雌	wkns
床头打架床尾和	xwux
打狗还得看主人	umcj2
数钱数到手抽筋	pzpr2
春风又绿江南岸	aorv
有花堪折直须折	nlgu
末笔字型识别码	frwm
杀猪般的惨叫声	bmig
楚雄彝族自治州	enbo
破锅自有破锅盖	mzog2
色字头上一把刀	xwwp
超文本传输协议	pves
酒香不怕巷子深	kxck2
二万五千里长征	mfww2
于无声处听惊雷	fdgt
假作真时真亦假	jjnj2
加利福尼亚大学	sxfk
艺术来源于生活	leak
蓬门今始为君开	lajf
一份满意的答卷	fjkh
不知道怎么样了	cohr2
撒泡尿照照自己	ukcv
不把自己当外人	cuoj2
不知道什么意思	cohq
你知道的太多了	johr
一山还有一山高	fvcg
一心只读圣贤书	fhda
一语点醒梦中人	fsyj2
不在乎天长地久	cntx
不患寡而患不均	cdwg
不打无准备之仗	cudj
两万五千里长征	mfww3
伟大领袖毛主席	jmjx2
几家欢喜几家愁	owrx
别人笑我太疯癫	djra
千金难买我愿意	lzrx
大难来时各自飞	mrac
奈何明月照沟渠	mjok
往来港澳通行证	waks2
昌吉回族自治州	ogro
有压力才有动力	nxss
白云深处有人家	ubkw
站好最后一班岗	ibov2
老虎苍蝇一起打	qzlu
胜者为王败者寇	vqiw
莫愁前路无知己	lxhv
衣食足而知荣辱	tqpf
请收下我的膝盖	sifg
一口吃不成胖子	fddh3
一路火花带闪电	fpco2
两利相权取其重	mxel
举杯销愁愁更愁	kezx
人丑就要多读书	jaga2
你好我好大家好	jbtb
养儿方知父母恩	gplr
半封建半殖民地	hgbg
收到了一条消息	iyro2
早睡早起身体好	oqob2
机关算尽太聪明	ehro
画个圈圈诅咒你	fjrj7
皮格马利翁效应	renx
最高人民法院	ogjt
中级人民法院	dijt
社会主义制度	fjix
股份有限公司	vjna
有限责任公司	ntaa
中国人民银行	drjp
国内生产总值	rmlj
全国各族人民	jrsd
不知天高地厚	cofx
高级人民法院	gijt
一步一个脚印	fsfb
在这种情况下	nvxf
辩证唯物主义	nsdi
百思不得其解	fqcx
面子上挂不住	bhyj
家人们谁懂啊	wjjd2
龙行𮹝𮹝	tptt2
世界卫生组织	lqzi
社会主义建设	fjis
上气不接下气	yvcv
立于不败之地	ifcg
剥夺政治权利	bmfx
神不知鬼不觉	fcok
一而再再而三	flft
内蒙古自治区	mlcn
伸手不见五指	jucu
一发不可收拾	fscu
中国工商银行	drup
抛头颅洒热血	uwyt
不费吹灰之力	ctds
非公有制经济	rhnk
不食人间烟火	cqjc
死无葬身之地	gdlg2
吃不了兜着走	dcrp2
老死不相往来	qgca
社会主义国家	fjiw
世界贸易组织	lqbi
人民代表大会	jdjj3
手无缚鸡之力	udis
不分青红皂白	chau
迅雷不及掩耳	atcq
历史唯物主义	xddi
工商行政管理	uipn
四项基本原则	yuzo
人民民主专政	jddf
万万没有想到	ffky
热锅上的蚂蚁	uzyc
全国代表大会	jrjj3
井水不犯河水	qkck
九牛二虎之力	kqms
有一搭没一搭	nfuu2
不可同日而语	czms
天无绝人之路	fdip
天时地利人和	fogx2
中国农业银行	drwp
无所不用其极	dmce
化干戈为玉帛	jepu
神圣不可侵犯	frcm
出淤泥而不染	skkk
政治协商会议	fkns
社会主义革命	fjij2
精神文明建设	pfvs
人民生活水平	jdle2
社会主义社会	fjij3
唯恐天下不乱	dufa2
摸着石头过河	ugmk2
惶惶不可终日	hhco
可望而不可及	zflc
